COCNUM,Total Population,Total units,Occupied units,Vacant units,Total vacant,For rent,"Rented, not occupied",For sale only,"Sold, not occupied",Other vacant,COCNAME,"Overall Homeless, 2019","Unsheltered Homeless, 2019",Vacant per total homeless,Vacant per total unsheltered homeless,Absolute diff vacancy and total homeless,Absolute diff vacancy and total unsheltered homeless
AK-500,313209.0,125917.0,112793.0,13124.0,13124.0,3391.0,554.0,1207.0,434.0,4112.0,Anchorage CoC,1111.0,97.0,11.812781278127813,135.29896907216494,12013.0,13027.0
AK-501,451481.0,203599.0,149689.0,53910.0,53910.0,3956.0,1272.0,2148.0,852.0,15231.0,Alaska Balance of State CoC,796.0,176.0,67.72613065326634,306.3068181818182,53114.0,53734.0
AL-500,1110622.0,498801.0,428184.0,70617.0,70617.0,12583.0,4247.0,4531.0,2088.0,40465.0,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",981.0,326.0,71.98470948012232,216.61656441717793,69636.0,70291.0
AL-501,689662.0,327401.0,258704.0,68697.0,68697.0,22218.0,2771.0,4640.0,2900.0,20965.0,Mobile City & County/Baldwin County CoC,505.0,202.0,136.03366336633664,340.08415841584156,68192.0,68495.0
AL-502,390781.0,190219.0,153568.0,36651.0,36651.0,3800.0,466.0,1956.0,940.0,19459.0,Florence/Northwest Alabama CoC,390.0,201.0,93.97692307692307,182.34328358208955,36261.0,36450.0
AL-503,685245.0,299354.0,268239.0,31115.0,31115.0,5544.0,659.0,2673.0,1513.0,17716.0,Huntsville/North Alabama CoC,464.0,87.0,67.05818965517241,357.64367816091954,30651.0,31028.0
AL-504,464831.0,215860.0,179227.0,36633.0,36633.0,5786.0,800.0,2920.0,1658.0,17207.0,Montgomery City & County CoC,330.0,57.0,111.00909090909092,642.6842105263158,36303.0,36576.0
AL-506,277115.0,122302.0,97920.0,24382.0,24382.0,1911.0,708.0,592.0,425.0,8131.0,Tuscaloosa City & County CoC,44.0,0.0,554.1363636363636,inf,24338.0,24382.0
AL-507,2216729.0,1034942.0,835674.0,199268.0,199268.0,18450.0,5002.0,11773.0,6829.0,107032.0,Alabama Balance of State CoC,323.0,169.0,616.9287925696594,1179.1005917159764,198945.0,199099.0
AR-500,718935.0,325365.0,280296.0,45069.0,45069.0,12161.0,1492.0,4088.0,1583.0,20124.0,Little Rock/Central Arkansas CoC,1066.0,573.0,42.27861163227017,78.6544502617801,44003.0,44496.0
AR-501,635780.0,268383.0,237431.0,30952.0,30952.0,3749.0,1645.0,2590.0,1196.0,12099.0,Fayetteville/Northwest Arkansas CoC,518.0,237.0,59.75289575289575,130.59915611814347,30434.0,30715.0
AR-503,1358424.0,637737.0,523659.0,114078.0,114078.0,14371.0,2156.0,7100.0,4170.0,54255.0,Arkansas  Balance of State  CoC,811.0,545.0,140.66337854500617,209.31743119266056,113267.0,113533.0
AR-504,554673.0,273759.0,216922.0,56837.0,56837.0,5239.0,867.0,3283.0,1675.0,24904.0,,,,,,,
AR-505,443930.0,218240.0,170415.0,47825.0,47825.0,4636.0,554.0,2295.0,1670.0,23466.0,Southeast Arkansas CoC,75.0,0.0,637.6666666666666,inf,47750.0,47825.0
AZ-500,2091175.0,984367.0,753774.0,230593.0,230593.0,15898.0,3397.0,13917.0,6095.0,48972.0,Arizona Balance of State CoC,2021.0,983.0,114.09846610588818,234.58087487283825,228572.0,229610.0
AZ-501,1099098.0,493445.0,432363.0,61082.0,61082.0,11336.0,2870.0,5127.0,2554.0,18326.0,Tucson/Pima County CoC,1372.0,361.0,44.52040816326531,169.20221606648198,59710.0,60721.0
AZ-502,4459422.0,1802637.0,1600514.0,202123.0,202123.0,36916.0,8768.0,17550.0,11489.0,43191.0,"Phoenix, Mesa/Maricopa County CoC",6614.0,3188.0,30.55987299667372,63.40119196988708,195509.0,198935.0
CA-500,2057862.0,719160.0,683106.0,36054.0,36054.0,12382.0,3751.0,1938.0,2075.0,11282.0,San Jose/Santa Clara City & County CoC,9706.0,7922.0,3.7146095198846076,4.5511234536733145,26348.0,28132.0
CA-501,919427.0,413554.0,377066.0,36488.0,36488.0,7089.0,2611.0,1150.0,4873.0,12142.0,San Francisco CoC,8035.0,5180.0,4.541132545115121,7.044015444015444,28453.0,31308.0
CA-502,1825745.0,666298.0,632268.0,34030.0,34030.0,8591.0,1556.0,2370.0,2486.0,14683.0,"Oakland, Berkeley/Alameda County CoC",8022.0,6312.0,4.242084268262278,5.391318124207858,26008.0,27718.0
CA-503,1718984.0,643572.0,611097.0,32475.0,32475.0,9029.0,2098.0,3924.0,2191.0,11764.0,Sacramento City & County CoC,5561.0,3900.0,5.839777018521849,8.326923076923077,26914.0,28575.0
CA-504,526466.0,222684.0,200321.0,22363.0,22363.0,2375.0,573.0,1091.0,371.0,6327.0,"Santa Rosa, Petaluma/Sonoma County CoC",2951.0,1957.0,7.578109115554049,11.427184466019417,19412.0,20406.0
CA-505,1248546.0,453916.0,433004.0,20912.0,20912.0,4512.0,791.0,2121.0,1439.0,9363.0,Richmond/Contra Costa County CoC,2295.0,1627.0,9.1119825708061,12.853103872157345,18617.0,19285.0
CA-506,569302.0,188226.0,168093.0,20133.0,20133.0,3150.0,650.0,1122.0,881.0,4214.0,"Salinas/Monterey, San Benito Counties CoC",2704.0,1998.0,7.445636094674557,10.076576576576576,17429.0,18135.0
CA-507,288668.0,125367.0,116488.0,8879.0,8879.0,1253.0,331.0,382.0,274.0,3414.0,Marin County CoC,1034.0,708.0,8.587040618955513,12.540960451977401,7845.0,8171.0
CA-508,303746.0,116905.0,105454.0,11451.0,11451.0,929.0,315.0,514.0,535.0,3435.0,Watsonville/Santa Cruz City & County CoC,2167.0,1700.0,5.284263959390863,6.735882352941177,9284.0,9751.0
CA-509,135457.0,67689.0,53969.0,13720.0,13720.0,406.0,278.0,495.0,207.0,2845.0,Mendocino County CoC,785.0,538.0,17.477707006369428,25.50185873605948,12935.0,13182.0
CA-510,656832.0,223471.0,210688.0,12783.0,12783.0,1912.0,589.0,1592.0,1580.0,4679.0,"Turlock, Modesto/Stanislaus County CoC",1923.0,1088.0,6.647425897035881,11.749080882352942,10860.0,11695.0
CA-511,862876.0,286016.0,267756.0,18260.0,18260.0,4029.0,1027.0,1385.0,1985.0,6796.0,Stockton/San Joaquin County CoC,2631.0,1558.0,6.940326871911821,11.7201540436457,15629.0,16702.0
CA-512,844756.0,305514.0,289309.0,16205.0,16205.0,4678.0,996.0,1117.0,1018.0,4736.0,Daly/San Mateo County CoC,1512.0,901.0,10.717592592592593,17.985571587125417,14693.0,15304.0
CA-513,755215.0,244040.0,223789.0,20251.0,20251.0,3041.0,791.0,1708.0,942.0,7558.0,"Visalia/Kings, Tulare Counties CoC",1064.0,775.0,19.032894736842106,26.13032258064516,19187.0,19476.0
CA-514,1244578.0,430485.0,385431.0,45054.0,45054.0,7468.0,1906.0,3428.0,1838.0,11496.0,Fresno City & County/Madera County CoC,2508.0,2069.0,17.964114832535884,21.775737071048816,42546.0,42985.0
CA-515,533201.0,229952.0,196463.0,33489.0,33489.0,2306.0,500.0,1404.0,931.0,3221.0,"Roseville, Rocklin/Placer County CoC",617.0,296.0,54.27714748784441,113.13851351351352,32872.0,33193.0
CA-516,417869.0,208494.0,168176.0,40318.0,40318.0,1780.0,804.0,2151.0,1137.0,11291.0,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",1349.0,806.0,29.887323943661972,50.022332506203476,38969.0,39512.0
CA-517,252813.0,100048.0,88563.0,11485.0,11485.0,1217.0,75.0,829.0,335.0,2916.0,Napa City & County CoC,322.0,150.0,35.66770186335404,76.56666666666666,11163.0,11335.0
CA-518,505770.0,180689.0,170666.0,10023.0,10023.0,2258.0,605.0,803.0,617.0,3874.0,Vallejo/Solano County CoC,1151.0,932.0,8.708079930495222,10.754291845493562,8872.0,9091.0
CA-519,279426.0,123801.0,105656.0,18145.0,18145.0,3120.0,1809.0,1330.0,552.0,4342.0,"Chico, Paradise/Butte County CoC",1266.0,838.0,14.332543443917851,21.6527446300716,16879.0,17307.0
CA-520,335273.0,109888.0,101829.0,8059.0,8059.0,1659.0,182.0,731.0,1179.0,3181.0,Merced City & County CoC,608.0,288.0,13.254934210526315,27.98263888888889,7451.0,7771.0
CA-521,323879.0,124408.0,116858.0,7550.0,7550.0,1281.0,921.0,566.0,500.0,2650.0,"Davis, Woodland/Yolo County CoC",655.0,397.0,11.526717557251908,19.0176322418136,6895.0,7153.0
CA-522,155870.0,75093.0,63458.0,11635.0,11635.0,823.0,507.0,489.0,280.0,4277.0,Humboldt County CoC,1702.0,1402.0,6.836075205640423,8.29885877318117,9933.0,10233.0
CA-523,176630.0,83294.0,67881.0,15413.0,15413.0,760.0,504.0,888.0,363.0,4323.0,"Colusa, Glenn, Trinity Counties CoC",192.0,150.0,80.27604166666667,102.75333333333333,15221.0,15263.0
CA-524,262184.0,101225.0,90822.0,10403.0,10403.0,1191.0,494.0,971.0,362.0,3316.0,Yuba City & County/Sutter County CoC,721.0,519.0,14.428571428571429,20.04431599229287,9682.0,9884.0
CA-525,262197.0,123490.0,97659.0,25831.0,25831.0,901.0,214.0,870.0,554.0,2547.0,El Dorado County CoC,613.0,480.0,42.13866231647635,53.81458333333333,25218.0,25351.0
CA-526,241779.0,126565.0,92934.0,33631.0,33631.0,1433.0,173.0,1884.0,1613.0,4289.0,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",845.0,687.0,39.8,48.95342066957787,32786.0,32944.0
CA-527,110532.0,52321.0,42501.0,9820.0,9820.0,514.0,77.0,575.0,83.0,2460.0,Tehama County CoC,288.0,215.0,34.09722222222222,45.674418604651166,9532.0,9605.0
CA-529,97573.0,49553.0,37629.0,11924.0,11924.0,542.0,115.0,702.0,322.0,2982.0,Lake County CoC,408.0,382.0,29.225490196078432,31.214659685863875,11516.0,11542.0
CA-530,143671.0,101335.0,58565.0,42770.0,42770.0,2382.0,165.0,1801.0,821.0,4643.0,"Alpine, Inyo, Mono Counties CoC",214.0,197.0,199.85981308411215,217.10659898477158,42556.0,42573.0
CA-531,152365.0,83521.0,61860.0,21661.0,21661.0,428.0,230.0,873.0,396.0,2324.0,Nevada County CoC,415.0,251.0,52.195180722891564,86.2988047808765,21246.0,21410.0
CA-600,9914504.0,3467609.0,3245824.0,221785.0,221785.0,60495.0,16446.0,16705.0,10430.0,83860.0,Los Angeles City & County CoC,56257.0,42471.0,3.9423538404109713,5.222033858397495,165528.0,179314.0
CA-601,3401620.0,1245469.0,1152426.0,93043.0,93043.0,21561.0,7073.0,6895.0,4067.0,24626.0,San Diego City and County CoC,8102.0,4476.0,11.483954579116267,20.78708668453977,84941.0,88567.0
CA-602,3360136.0,1157330.0,1091591.0,65739.0,65739.0,17759.0,4924.0,6575.0,4870.0,12368.0,"Santa Ana, Anaheim/Orange County CoC",6860.0,3961.0,9.582944606413994,16.59656652360515,58879.0,61778.0
CA-603,469681.0,168302.0,155504.0,12798.0,12798.0,2050.0,797.0,765.0,594.0,3475.0,Santa Maria/Santa Barbara County CoC,1803.0,1133.0,7.098169717138103,11.29567519858782,10995.0,11665.0
CA-604,958347.0,328232.0,294927.0,33305.0,33305.0,6596.0,1093.0,3508.0,1031.0,10779.0,Bakersfield/Kern County CoC,1330.0,805.0,25.041353383458645,41.37267080745342,31975.0,32500.0
CA-606,611715.0,225062.0,214215.0,10847.0,10847.0,4448.0,695.0,825.0,340.0,3260.0,Long Beach CoC,1894.0,1275.0,5.727032734952481,8.507450980392157,8953.0,9572.0
CA-607,261562.0,107716.0,97572.0,10144.0,10144.0,1256.0,409.0,873.0,283.0,6143.0,Pasadena CoC,542.0,321.0,18.715867158671585,31.601246105919003,9602.0,9823.0
CA-608,2646462.0,933484.0,800337.0,133147.0,133147.0,13533.0,2459.0,10105.0,4652.0,23299.0,Riverside City & County CoC,2811.0,2045.0,47.366417644966205,65.10855745721271,130336.0,131102.0
CA-609,2464021.0,844785.0,737502.0,107283.0,107283.0,12486.0,3106.0,8135.0,3641.0,22991.0,San Bernardino City & County CoC,2607.0,1920.0,41.151898734177216,55.8765625,104676.0,105363.0
CA-611,929344.0,321110.0,300827.0,20283.0,20283.0,4191.0,546.0,2115.0,788.0,5771.0,"Oxnard, San Buenaventura/Ventura County CoC",1669.0,1258.0,12.152786099460755,16.123211446740857,18614.0,19025.0
CA-612,279346.0,109472.0,103103.0,6369.0,6369.0,1530.0,397.0,324.0,221.0,3220.0,Glendale CoC,243.0,147.0,26.209876543209877,43.326530612244895,6126.0,6222.0
CA-613,221529.0,78969.0,58979.0,19990.0,19990.0,1117.0,278.0,633.0,253.0,10090.0,Imperial County CoC,1413.0,1225.0,14.147204529370134,16.318367346938775,18577.0,18765.0
CA-614,327190.0,135910.0,118595.0,17315.0,17315.0,2033.0,514.0,1177.0,680.0,2472.0,San Luis Obispo County CoC,1483.0,1172.0,11.67565745111261,14.773890784982935,15832.0,16143.0
CO-500,2136527.0,1009554.0,813502.0,196052.0,196052.0,17162.0,3402.0,9494.0,3284.0,40694.0,Colorado Balance of State CoC,2302.0,798.0,85.16594265855778,245.67919799498748,193750.0,195254.0
CO-503,3327962.0,1363778.0,1280258.0,83520.0,83520.0,20921.0,6119.0,6302.0,4268.0,16517.0,Metropolitan Denver CoC,5755.0,946.0,14.5125977410947,88.28752642706131,77765.0,82574.0
CO-504,760588.0,299560.0,281211.0,18349.0,18349.0,3661.0,1000.0,2106.0,858.0,6083.0,Colorado Springs/El Paso County CoC,1562.0,444.0,11.747119078104994,41.32657657657658,16787.0,17905.0
CT-503,1107468.0,436787.0,398836.0,37951.0,37951.0,8497.0,1048.0,5546.0,2267.0,12870.0,"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC",771.0,98.0,49.2230869001297,387.2551020408163,37180.0,37853.0
CT-505,2883291.0,1253948.0,1127048.0,126900.0,126900.0,24818.0,5832.0,12890.0,5214.0,47632.0,Connecticut Balance of State CoC,2262.0,358.0,56.10079575596817,354.46927374301674,124638.0,126542.0
DC-500,835348.0,376974.0,342460.0,34514.0,34514.0,12744.0,1817.0,2181.0,1326.0,12701.0,District of Columbia CoC,6521.0,608.0,5.292746511271277,56.766447368421055,27993.0,33906.0
DE-500,1135184.0,507856.0,430005.0,77851.0,77851.0,8469.0,1312.0,5786.0,2363.0,18271.0,Delaware Statewide CoC,921.0,95.0,84.52877307274701,819.4842105263158,76930.0,77756.0
FL-500,897138.0,477087.0,363248.0,113839.0,113839.0,13108.0,2705.0,6511.0,3258.0,13783.0,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",1135.0,400.0,100.29867841409691,284.5975,112704.0,113439.0
FL-501,1586205.0,651565.0,585828.0,65737.0,65737.0,16682.0,2975.0,6548.0,3632.0,19810.0,Tampa/Hillsborough County CoC,1650.0,672.0,39.84060606060606,97.82291666666667,64087.0,65065.0
FL-502,1012808.0,530599.0,426213.0,104386.0,104386.0,12032.0,1903.0,6777.0,4646.0,25577.0,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2415.0,834.0,43.224016563146996,125.1630695443645,101971.0,103552.0
FL-503,826455.0,362637.0,279172.0,83465.0,83465.0,6065.0,1256.0,5189.0,1378.0,14026.0,"Lakeland, Winterhaven/Polk County CoC",563.0,114.0,148.25044404973357,732.1491228070175,82902.0,83351.0
FL-504,756654.0,363302.0,299943.0,63359.0,63359.0,5775.0,1237.0,4860.0,2177.0,12206.0,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",875.0,507.0,72.41028571428572,124.96844181459566,62484.0,62852.0
FL-505,351883.0,184479.0,132897.0,51582.0,51582.0,9440.0,292.0,1643.0,515.0,10386.0,"Fort Walton Beach/Okaloosa, Walton Counties CoC",399.0,234.0,129.2781954887218,220.43589743589743,51183.0,51348.0
FL-506,536708.0,248462.0,202278.0,46184.0,46184.0,6489.0,2061.0,2770.0,955.0,19307.0,Tallahassee/Leon County CoC,966.0,91.0,47.80952380952381,507.5164835164835,45218.0,46093.0
FL-507,2376164.0,969645.0,813917.0,155728.0,155728.0,33427.0,5879.0,14923.0,5563.0,26222.0,"Orlando/Orange, Osceola, Seminole Counties CoC",2010.0,336.0,77.47661691542288,463.4761904761905,153718.0,155392.0
FL-508,583395.0,269787.0,218076.0,51711.0,51711.0,10837.0,779.0,3811.0,1192.0,18049.0,"Gainesville/Alachua, Putnam Counties CoC",804.0,498.0,64.31716417910448,103.83734939759036,50907.0,51213.0
FL-509,712337.0,336814.0,267056.0,69758.0,69758.0,9491.0,1613.0,4749.0,2458.0,15207.0,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",1499.0,1345.0,46.536357571714476,51.86468401486989,68259.0,68413.0
FL-510,1374790.0,585058.0,515988.0,69070.0,69070.0,14532.0,3744.0,6841.0,4075.0,26473.0,"Jacksonville-Duval, Clay Counties CoC",1654.0,508.0,41.75937122128174,135.96456692913387,67416.0,68562.0
FL-511,551739.0,250365.0,207826.0,42539.0,42539.0,11324.0,479.0,3041.0,645.0,13322.0,"Pensacola/Escambia, Santa Rosa Counties CoC",518.0,177.0,82.12162162162163,240.33333333333334,42021.0,42362.0
FL-512,363279.0,160377.0,134626.0,25751.0,25751.0,2313.0,788.0,2046.0,959.0,5256.0,St. Johns County CoC,356.0,200.0,72.33426966292134,128.755,25395.0,25551.0
FL-513,667499.0,314667.0,258408.0,56259.0,56259.0,9018.0,2329.0,3513.0,1561.0,12119.0,"Palm Bay, Melbourne/Brevard County CoC",815.0,397.0,69.02944785276074,141.71032745591938,55444.0,55862.0
FL-514,471093.0,235221.0,190770.0,44451.0,44451.0,4740.0,697.0,3484.0,2047.0,12848.0,Ocala/Marion County CoC,475.0,179.0,93.58105263157894,248.3296089385475,43976.0,44272.0
FL-515,382450.0,202123.0,143670.0,58453.0,58453.0,9859.0,723.0,2229.0,941.0,16789.0,"Panama City/Bay, Jackson Counties CoC",488.0,355.0,119.78073770491804,164.65633802816902,57965.0,58098.0
FL-517,440474.0,188891.0,147046.0,41845.0,41845.0,2604.0,484.0,3271.0,961.0,9685.0,"Hendry, Hardee, Highlands Counties CoC",398.0,350.0,105.13819095477388,119.55714285714286,41447.0,41495.0
FL-518,223729.0,95835.0,77374.0,18461.0,18461.0,1607.0,382.0,1323.0,485.0,8664.0,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",538.0,425.0,34.314126394052046,43.43764705882353,17923.0,18036.0
FL-519,670066.0,303428.0,257342.0,46086.0,46086.0,5149.0,665.0,5202.0,1996.0,10137.0,Pasco County CoC,894.0,688.0,51.5503355704698,66.98546511627907,45192.0,45398.0
FL-520,1105461.0,538715.0,439806.0,98909.0,98909.0,9949.0,1212.0,8627.0,4435.0,15848.0,"Citrus, Hernando, Lake, Sumter Counties CoC",677.0,331.0,146.09896602658787,298.81873111782477,98232.0,98578.0
FL-600,2826388.0,1079052.0,924378.0,154674.0,154674.0,27727.0,6104.0,9656.0,6026.0,26050.0,Miami-Dade County CoC,3472.0,1008.0,44.548963133640555,153.44642857142858,151202.0,153666.0
FL-601,2103310.0,895606.0,748185.0,147421.0,147421.0,21622.0,4836.0,9584.0,6923.0,19650.0,Ft Lauderdale/Broward County CoC,2803.0,1350.0,52.59400642169105,109.20074074074074,144618.0,146071.0
FL-602,296826.0,161882.0,120809.0,41073.0,41073.0,2848.0,983.0,2287.0,1010.0,4611.0,Punta Gorda/Charlotte County CoC,156.0,67.0,263.28846153846155,613.0298507462686,40917.0,41006.0
FL-603,829039.0,438027.0,307534.0,130493.0,130493.0,7440.0,1493.0,6344.0,2299.0,12309.0,"Ft Myers, Cape Coral/Lee County CoC",372.0,162.0,350.7876344086022,805.5123456790124,130121.0,130331.0
FL-604,120558.0,69847.0,44743.0,25104.0,25104.0,3886.0,150.0,706.0,354.0,3409.0,Monroe County CoC,501.0,209.0,50.10778443113772,120.11483253588517,24603.0,24895.0
FL-605,1563697.0,727612.0,588940.0,138672.0,138672.0,15957.0,2600.0,7960.0,6267.0,16879.0,West Palm Beach/Palm Beach County CoC,1397.0,940.0,99.26413743736579,147.52340425531915,137275.0,137732.0
